package_name,sdk
au.com.auspost.android,['Demdex']
au.com.aussiecommerce.luxuryescapes,['Salesforce Marketing Cloud']
au.com.bt.panorama,['Demdex']
au.com.bws,"['Demdex', 'Omniture']"
au.com.caboolturegolf.caboolturegc,['AltBeacon']
au.com.carsales,['Swrve']
au.com.codesports,['Demdex']
au.com.commsec.android.CommSec,['Demdex']
au.com.dmgradio.smoothfm,"['mParticle', 'Adjust']"
au.com.dubbogolfclub.dgc32504,['AltBeacon']
au.com.entegy.AV1launcher,['AltBeacon']
au.com.entegy.Ridge,['AltBeacon']
au.com.entegy.acfeb17,['AltBeacon']
au.com.entegy.carnarvongolf,['AltBeacon']
au.com.entegy.eventzone,['AltBeacon']
au.com.entegy.holyrosary,['AltBeacon']
au.com.entegy.igniteportal,['AltBeacon']
au.com.entegy.junior,['AltBeacon']
au.com.entegy.kings0615,['AltBeacon']
au.com.entegy.myschoolzone,['AltBeacon']
au.com.entegy.stbenedicts,['AltBeacon']
au.com.entegy.travelHQ,['AltBeacon']
au.com.entegy.workinglife,['AltBeacon']
au.com.fiveaa,"['mParticle', 'Adjust', 'Kochava']"
au.com.flightcentre,['Swrve']
au.com.gateway.android,['Radius Networks']
au.com.hopemedia.android,['Demdex']
au.com.lasoo.android,['Salesforce Marketing Cloud']
au.com.liven.android,"['Braze (formerly Appboy)', 'AltBeacon']"
au.com.mastereventist.mastereventist,['AltBeacon']
au.com.medibank.phs,['Salesforce Marketing Cloud']
au.com.michelin.mmr,['AltBeacon']
au.com.michelin.tme19,['AltBeacon']
au.com.netball,['Demdex']
au.com.novaentertainment.podcasts,"['mParticle', 'Adjust', 'Kochava']"
au.com.nudgeegolf.nudgeegc,['AltBeacon']
au.com.oddgames.trucksoffroad,['Kochava']
au.com.optus.optusstadium,"['Yinzcam Sobek', 'AltBeacon']"
au.com.ozforex,['Salesforce Marketing Cloud']
au.com.pacificdunesgolf.pacificdunes,['AltBeacon']
au.com.paystay.atpark,['AltBeacon']
au.com.perthairport.perthairport,['AltBeacon']
au.com.portmacquariegolf.portmac,['AltBeacon']
au.com.qantas.qantas,['Demdex']
au.com.realestate.app,['Demdex']
au.com.seatfrog.icarus,"['Amplitude', 'AppsFlyer', 'mParticle']"
au.com.seek,['Demdex']
au.com.silverservice,['Kochava']
au.com.solus.BlacktownCityCouncilLibrary,['AltBeacon']
au.com.solus.BourkeLibrary,['AltBeacon']
au.com.solus.BurwoodLibrary,['AltBeacon']
au.com.solus.CanterburyBankstownLibrary,['AltBeacon']
au.com.solus.CaseyCardiniaLibraries,"['Sense360', 'AltBeacon']"
au.com.solus.CentralWestLibraries,['AltBeacon']
au.com.solus.CessnockCityLibrary,['AltBeacon']
au.com.solus.CityOfBelmont,['AltBeacon']
au.com.solus.CityOfSydney,['AltBeacon']
au.com.solus.Clarence,['AltBeacon']
au.com.solus.DarebinLibraries,['AltBeacon']
au.com.solus.FairfieldLibraries,['AltBeacon']
au.com.solus.FrankstonCityLibraries,['AltBeacon']
au.com.solus.FraserCoast,['AltBeacon']
au.com.solus.GlenEiraLibraries,['AltBeacon']
au.com.solus.LibrariesTasmania,['AltBeacon']
au.com.solus.MaitlandLibraries,['AltBeacon']
au.com.solus.MaribyrnongLibraries,['AltBeacon']
au.com.solus.MeltonLibraries,['AltBeacon']
au.com.solus.MelvilleLibraries,['AltBeacon']
au.com.solus.MooneeValleyLibraries,['AltBeacon']
au.com.solus.MoretonBayLibraries,['AltBeacon']
au.com.solus.NewcastleLibraries,['AltBeacon']
au.com.solus.NorthWesternLibrary,['AltBeacon']
au.com.solus.RedlandCity,['AltBeacon']
au.com.solus.RichmondTweedLibraries,['AltBeacon']
au.com.solus.RiverinaLibraries,['AltBeacon']
au.com.solus.SunshineCoast,['AltBeacon']
au.com.solus.TheHills,['AltBeacon']
au.com.solus.Wanneroo,['AltBeacon']
au.com.solus.WaverleyLibrary,['AltBeacon']
au.com.solus.WesternRiverinaLibraries,['AltBeacon']
au.com.solus.WhitehorseManninghamLibraries,['AltBeacon']
au.com.solus.WoollahraLibraries,['AltBeacon']
au.com.star1045,"['mParticle', 'Adjust', 'Kochava']"
au.com.unionlane.situ,['AltBeacon']
au.com.vrtp.goldcoast,['AltBeacon']
au.com.weatherzone.android.weatherzonefreeapp,['Demdex']
au.com.winten.onedenison,['AltBeacon']
au.com.yeringmeadows.ymgc,['AltBeacon']
au.gov.act.addinsight,['AltBeacon']
au.gov.nsw.cityofsydney.culturewalks,"['Mapbox', 'Kontakt']"
au.net.exposcan.exposcan,['AltBeacon']
au.org.rch.Android,['AltBeacon']
au.org.uac.uacevents,['AltBeacon']
audio.anyplay.next,['Kochava']
axis_android.axis_android.BattlegroundCountryClub,['Gimbal']
axis_android.axis_android.CampLakeJamesRedesign,['Gimbal']
axis_android.axis_android.CountryClubOfOrlando2019,['Gimbal']
axis_android.axis_android.FieldClubofOmaha,['Gimbal']
axis_android.axis_android.GlacierClub,['Gimbal']
axis_android.axis_android.HighlandsCountryClub2019,['Gimbal']
axis_android.axis_android.InwoodCountryClub2019,['Gimbal']
axis_android.axis_android.LakeMercedGolfClub,['Gimbal']
axis_android.axis_android.PeninsulaPapagayo,['Gimbal']
axis_android.axis_android.RiverCrestCountryClub,['Gimbal']
axis_android.axis_android.SciotoCountryClub,['Gimbal']
axis_android.axis_android.SpringIslandClub,['Gimbal']
axis_android.axis_android.TheBuffaloClub2016,['Gimbal']
axis_android.axis_android.TheClub3Creek,['Gimbal']
axis_android.axis_android.UniversityClubOfCincinnati2019,['Gimbal']
axis_android.axis_android.WoodlandsCountryClubPrivate,['Gimbal']
axis_android.axis_android.southernhillscountryclub,['Gimbal']
axis_android.clubessential.clientapp,['Gimbal']
az.gov.etabib,['AltBeacon']
ba.raiffeisenbank.mobile.prod,['Salesforce Marketing Cloud']
barion.app,['AltBeacon']
bd.com.robi.mydrive,['Swrve']
be.aginsurance.hcapp,['Demdex']
be.aginsurance.pronto,['Demdex']
be.appsolution.lechat,['Estimote']
be.bazookas.mobile.android.clubbrugge,"['Amplitude', 'Kontakt']"
be.belgacom.hello,['AltBeacon']
be.belgacom.mobile.adeleeverywhere,['Demdex']
be.bitmunks.ypressalient.walkbluff,['AltBeacon']
be.carrefour.singleapp,['Demdex']
be.delhaize.my,['Salesforce Marketing Cloud']
be.eneco.smartcable,['AltBeacon']
be.engie.smart,['Salesforce Marketing Cloud']
be.guido.stadsgids,"['OneSignal', 'AltBeacon']"
be.jetair.tda,"['Braze (formerly Appboy)', 'Demdex']"
be.krefel.app,['Ad4Screen']
be.lmssolutions.pul,['AltBeacon']
be.pizza.android,"['LeanPlum', 'Adjust']"
be.telenet.telenetapp,['Demdex']
be.tuifly.tda,"['Tealium', 'Braze (formerly Appboy)', 'Demdex']"
be.tweedehands.m,"['PubMatic', 'Demdex']"
be.vlaamsbelang.vbapp,['AltBeacon']
be.vrt.ketnet.ketnet,['Demdex']
be.vrt.vrtnu,"['Gemius HeatMap', 'Demdex']"
beauty.makeup.cosmo.app,['LeanPlum']
bellewaerde.appreciate.be.bellewaerde,"['Mapbox', 'Kontakt']"
berlin.paratransit,['LeanPlum']
best.word.connect.search.free.offline.puzzle.word.games.world,"['AppsFlyer', 'Flurry', 'Adjust', 'Kochava']"
bg.ubb.mobile,['Exponea']
bh.bahrain.corona.tracker,['AltBeacon']
bibelleseplan.kostenlos,['AltBeacon']
bible.segond21,['AltBeacon']
bitnet.hu.rossmann,"['Salesforce Marketing Cloud', 'AltBeacon']"
biz.binarysolutions.qibla,['Huq Sourcekit']
blue.epic.guardian.android,"['Mapbox', 'AltBeacon']"
bluen.homein,['AltBeacon']
bluesky.blueskytrails,['Kontakt']
bonoort.netpoint,['AltBeacon']
br.bus2,['AltBeacon']
br.com.Inter.CDPro,"['Adjust', 'New Relic', 'Salesforce Marketing Cloud']"
br.com.abcbrasil.bancoabcbrasil,['Salesforce Marketing Cloud']
br.com.agipag.app,['Salesforce Marketing Cloud']
br.com.appfactory.movida,"['AppsFlyer', 'Salesforce Marketing Cloud']"
br.com.bacio,['Salesforce Marketing Cloud']
br.com.bancobmg.bancodigital,"['Demdex', 'Omniture', 'incognia']"
br.com.bancobmg.bancodigital.atletico,"['Demdex', 'Omniture', 'incognia']"
br.com.bancobmg.bancodigital.corinthians,"['Demdex', 'Omniture', 'incognia']"
br.com.bancobmg.bancodigital.vasco,"['Demdex', 'Omniture', 'incognia']"
br.com.bancopan.cartoes,['Salesforce Marketing Cloud']
br.com.belezanaweb.android,['Salesforce Marketing Cloud']
br.com.bradesco.cartoes,['Salesforce Marketing Cloud']
br.com.bradesco.netempresa,['Salesforce Marketing Cloud']
br.com.bradesco.next,"['AppsFlyer', 'BlueKai (acquired by Oracle)']"
br.com.bradseg.bscelular,['Salesforce Marketing Cloud']
br.com.brainweb.ifood,"['Amplitude', 'LeanPlum']"
br.com.brmalls.customer.amazonasshopping,['Salesforce Marketing Cloud']
br.com.brmalls.customer.jardimsul,['Salesforce Marketing Cloud']
br.com.brmalls.customer.moocaplaza,['Salesforce Marketing Cloud']
br.com.brmalls.customer.norteshopping,['Salesforce Marketing Cloud']
br.com.brmalls.customer.piracicaba,['Salesforce Marketing Cloud']
br.com.brmalls.customer.plazaniteroi,['Salesforce Marketing Cloud']
br.com.brmalls.customer.santacruz,['Salesforce Marketing Cloud']
br.com.brmalls.customer.saobernardo,['Salesforce Marketing Cloud']
br.com.brmalls.customer.shoppingcuritiba,['Salesforce Marketing Cloud']
br.com.brmalls.customer.shoppingestacaobh,['Salesforce Marketing Cloud']
br.com.brmalls.customer.tambore,['Salesforce Marketing Cloud']
br.com.brmalls.customer.tijuca,['Salesforce Marketing Cloud']
br.com.brmalls.customer.vilavelha,['Salesforce Marketing Cloud']
br.com.brmalls.customer.villalobos,['Salesforce Marketing Cloud']
br.com.buscape.MainPack,['Salesforce Marketing Cloud']
br.com.center.Vigillare,['AltBeacon']
br.com.center.attento,['AltBeacon']
br.com.center.bASistemasSeguranca,['AltBeacon']
br.com.center.bluelock,['AltBeacon']
br.com.center.bravote,['AltBeacon']
br.com.center.capitalServicos,['AltBeacon']
br.com.center.condcenter,['AltBeacon']
br.com.center.consis,['AltBeacon']
br.com.center.digitalport,['AltBeacon']
br.com.center.emvipol,['AltBeacon']
br.com.center.entri,['AltBeacon']
br.com.center.europortbrasil,['AltBeacon']
br.com.center.folkportariaremota,['AltBeacon']
br.com.center.generaltec,['AltBeacon']
br.com.center.gothamportaria,['AltBeacon']
br.com.center.grupoelite,['AltBeacon']
br.com.center.grupogtaplus,['AltBeacon']
br.com.center.maguenmonitoramento,['AltBeacon']
br.com.center.mantramonitoramento,['AltBeacon']
br.com.center.plenatech,['AltBeacon']
br.com.center.portariaprotec,['AltBeacon']
br.com.center.portariasystemautonomo,['AltBeacon']
br.com.center.protec,['AltBeacon']
br.com.center.protechseguranca,['AltBeacon']
br.com.center.rci,['AltBeacon']
br.com.center.ruppportaria,['AltBeacon']
br.com.center.simito,['AltBeacon']
br.com.center.simseguranca,['AltBeacon']
br.com.center.sosseguranca,['AltBeacon']
br.com.center.staffbrasil,['AltBeacon']
br.com.ceopag.usuario,['Salesforce Marketing Cloud']
br.com.cittabus,"['AppLovin (MAX and SparkLabs)', 'X-Mode']"
br.com.clear.app.android,['Salesforce Marketing Cloud']
br.com.digio,['Salesforce Marketing Cloud']
br.com.drogasil,['Salesforce Marketing Cloud']
br.com.edeploy.gol.checkin.activities,"['Amplitude', 'AltBeacon']"
br.com.einstein.paciente,['Salesforce Marketing Cloud']
br.com.enjoei.app,"['AppsFlyer', 'Criteo', 'Google Analytics', 'Adjust', 'Salesforce Marketing Cloud']"
br.com.estapar.sp,['Salesforce Marketing Cloud']
br.com.gerenciadorfinanceiro.controller,"['Adjust', 'Salesforce Marketing Cloud']"
br.com.gerencianet.app,"['Amplitude', 'Salesforce Marketing Cloud']"
br.com.getninjas.pro,['Salesforce Marketing Cloud']
br.com.gorilainvest.mobileapp,['Salesforce Marketing Cloud']
br.com.grupoboticario.boticariorepresentante,['Salesforce Marketing Cloud']
br.com.hapvida.hapvida,['Salesforce Marketing Cloud']
br.com.hotelurbano,['Salesforce Marketing Cloud']
br.com.intermedium,"['Adjust', 'Salesforce Marketing Cloud']"
br.com.justos.app,['Zendrive']
br.com.lab360.doterra,['AltBeacon']
br.com.letswork.letsworkcolab,['AltBeacon']
br.com.livelo.app,['Salesforce Marketing Cloud']
br.com.marisa.android,['Salesforce Marketing Cloud']
br.com.meliuz,['Salesforce Marketing Cloud']
br.com.meupag,['Salesforce Marketing Cloud']
br.com.mobicare.cielo,['Salesforce Marketing Cloud']
br.com.mobile2you.appgas.costumer,"['Adjust', 'LeanPlum']"
br.com.mobits.mobitsplaza.ancar.botafogopraiashopping,['AltBeacon']
br.com.mobits.mobitsplaza.ancar.conjuntonacional,['Estimote']
br.com.mobits.mobitsplaza.ancar.goldensquareshopping,['Salesforce Marketing Cloud']
br.com.mobits.mobitsplaza.ancar.northshoppingfortaleza,['Salesforce Marketing Cloud']
br.com.mobits.mobitsplaza.ancar.northshoppingjoquei,['Estimote']
br.com.mobits.mobitsplaza.ancar.northshoppingmaracanau,['Estimote']
br.com.mobits.mobitsplaza.ancar.novaamerica,['Salesforce Marketing Cloud']
br.com.mobits.mobitsplaza.ancar.pantanalshopping,['Estimote']
br.com.mobits.mobitsplaza.ancar.portovelhoshopping,['Estimote']
br.com.mobits.mobitsplaza.ancar.riodesignbarra,['Estimote']
br.com.mobits.mobitsplaza.ancar.shoppingboulevardrj,['Estimote']
br.com.mobits.mobitsplaza.ancar.shoppingmetroitaquera,['Estimote']
br.com.mobits.mobitsplaza.ancar.shoppingnovaiguacu,['Salesforce Marketing Cloud']
br.com.mobits.mobitsplaza.ancar.shoppingparquebandeiras,['Estimote']
br.com.mobits.mobitsplaza.ancar.shoppingpatiopaulista,['Estimote']
br.com.mobits.mobitsplaza.ancar.viasulshopping,['Estimote']
br.com.mobits.mobitsplaza.app.shoppingcenternorte,['Estimote']
br.com.mobits.mobitsplaza.app.shoppingdailha,['Estimote']
br.com.mobits.mobitsplaza.app.shoppingfiesta,['Estimote']
br.com.mobits.mobitsplaza.app.shoppingmestrealvaro,['Estimote']
br.com.mobits.mobitsplaza.app.shoppingriopoty,['Estimote']
br.com.mobits.mobitsplaza.app.teresinashopping,['Estimote']
br.com.mobits.mobitsplaza.app.topshopping,['Estimote']
br.com.mobits.mobitsplaza.brmalls.natalshopping,['Estimote']
br.com.mobits.mobitsplaza.brmalls.shoppingcontagem,['Estimote']
br.com.mobits.mobitsplaza.brmalls.shoppingplazamacae,['Estimote']
br.com.mobits.mobitsplaza.gazit.maisshopping,['Estimote']
br.com.mobits.mobitsplaza.gazit.pradoboulevard,['Estimote']
